Date;Close;
21/12/2019;7166;
20/12/2019;7213;
19/12/2019;7182;
18/12/2019;7323;
17/12/2019;6667;
16/12/2019;6927;
15/12/2019;7153;
14/12/2019;7101;
13/12/2019;7283;
12/12/2019;7224;
11/12/2019;7231;
10/12/2019;7255;
09/12/2019;7380;
08/12/2019;7565;
07/12/2019;7543;
06/12/2019;7588;
05/12/2019;7440;
04/12/2019;7238;
03/12/2019;7336;
02/12/2019;7350;
01/12/2019;7450;
30/11/2019;7600;
29/11/2019;7797;
28/11/2019;7461;
27/11/2019;7549;
26/11/2019;7198;
25/11/2019;7168;
24/11/2019;6965;
23/11/2019;7353;
22/11/2019;7323;
21/11/2019;7671;
20/11/2019;8126;
19/11/2019;8165;
18/11/2019;8220;
17/11/2019;8537;
16/11/2019;8524;
15/11/2019;8496;
14/11/2019;8656;
13/11/2019;8801;
12/11/2019;8830;
11/11/2019;8738;
10/11/2019;9068;
09/11/2019;8828;
08/11/2019;8782;
07/11/2019;9208;
06/11/2019;9353;
05/11/2019;9334;
04/11/2019;9441;
03/11/2019;9222;
02/11/2019;9332;
01/11/2019;9289;
31/10/2019;9186;
30/10/2019;9184;
29/10/2019;9446;
28/10/2019;9226;
27/10/2019;9572;
26/10/2019;9271;
25/10/2019;8679;
24/10/2019;7453;
23/10/2019;7494;
22/10/2019;8059;
21/10/2019;8244;
20/10/2019;8261;
19/10/2019;7993;
18/10/2019;7987;
17/10/2019;8092;
16/10/2019;8016;
15/10/2019;8191;
14/10/2019;8370;
13/10/2019;8306;
12/10/2019;8318;
11/10/2019;8280;
10/10/2019;8596;
09/10/2019;8608;
08/10/2019;8211;
07/10/2019;8227;
06/10/2019;7883;
05/10/2019;8163;
04/10/2019;8170;
03/10/2019;8258;
02/10/2019;8413;
01/10/2019;8335;
30/09/2019;8331;
29/09/2019;8090;
28/09/2019;8239;
27/09/2019;8213;
26/09/2019;8104;
25/09/2019;8475;
24/09/2019;8548;
23/09/2019;9703;
22/09/2019;10052;
21/09/2019;10013;
20/09/2019;10198;
19/09/2019;10301;
18/09/2019;10185;
17/09/2019;10214;
16/09/2019;10295;
15/09/2019;10322;
14/09/2019;10379;
13/09/2019;10374;
12/09/2019;10452;
11/09/2019;10175;
10/09/2019;10122;
09/09/2019;10318;
08/09/2019;10415;
07/09/2019;10488;
06/09/2019;10317;
05/09/2019;10579;
04/09/2019;10590;
03/09/2019;10641;
02/09/2019;10388;
01/09/2019;9779;
31/08/2019;9624;
30/08/2019;9601;
29/08/2019;9509;
28/08/2019;9727;
27/08/2019;10184;
26/08/2019;10377;
25/08/2019;10132;
24/08/2019;10152;
23/08/2019;10408;
22/08/2019;10117;
21/08/2019;10146;
20/08/2019;10793;
19/08/2019;10937;
18/08/2019;10327;
17/08/2019;10228;
16/08/2019;10366;
15/08/2019;10327;
14/08/2019;10067;
13/08/2019;10904;
12/08/2019;11404;
11/08/2019;11586;
10/08/2019;11314;
09/08/2019;11893;
08/08/2019;12060;
07/08/2019;11997;
06/08/2019;11471;
05/08/2019;11808;
04/08/2019;10973;
03/08/2019;10822;
02/08/2019;10519;
01/08/2019;10399;
31/07/2019;10088;
30/07/2019;9589;
29/07/2019;9507;
28/07/2019;9519;
27/07/2019;9466;
